"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","emphasizedKeywords/4","position","title","type","url","emphasizedKeywords/5"
"DE","DESKTOP","google.de",,,"1","5","Woher nimmt die Regierung jetzt die 60 Milliarden für den Klimafonds? site:faz.net","SEARCH","http://www.google.de/search?q=Woher+nimmt+die+Regierung+jetzt+die+60+Milliarden+f%C3%BCr+den+Klimafonds%3F+site%3Afaz.net&num=5","41",,"Woher nimmt die Regierung jetzt die 60 Milliarden für den Klimafonds? F.A.Z.-Frühdenker: Woher nimmt die Regierung jetzt die 60 Milliarden für den Klimafonds?","https://www.faz.net › aktuell › thema › arbeitslose-p5","Woher nimmt die Regierung jetzt die 60 Milliarden für den Klimafonds","Woher nimmt die Regierung jetzt die 60 Milliarden für den Klimafonds",,,,"4","News zur Zahl der Arbeitslosen","organic","https://www.faz.net/aktuell/gesellschaft/thema/arbeitslose-p5",
"DE","DESKTOP","google.de",,,"1","5","#DubistEinMann ist zulässig site:faz.net","SEARCH","http://www.google.de/search?q=%23DubistEinMann+ist+zul%C3%A4ssig+site%3Afaz.net&num=5","4","2023-02-11T12:00:00.000Z","Das Oberlandesgericht Frankfurt am Main hat den Hashtag „DubistEinMann“ als zulässige Meinungsäußerung bewertet. Das hat das Gericht am ...","https://www.faz.net › ... › Rhein-Main › Frankfurt",,,,,,"1","DubistEinMann ist zulässige Meinungsäußerung - Frankfurt","organic","https://www.faz.net/aktuell/rhein-main/frankfurt/gerichtsbeschluss-dubisteinmann-ist-zulaessige-meinungsaeusserung-19285578.html",
"DE","DESKTOP","google.de",,,"1","5","#DubistEinMann ist zulässig site:faz.net","SEARCH","http://www.google.de/search?q=%23DubistEinMann+ist+zul%C3%A4ssig+site%3Afaz.net&num=5","4","2023-11-15T12:00:00.000Z","DubistEinMann ist zulässige Meinungsäußerung · Selbstbestimmungsgesetz. Merz fordert Hürden für Geschlechtsanpassungen · AfD-Vorsitzende Weidel.","https://www.faz.net › FAZ.NET › Politik › Inland","DubistEinMann",,,,,"2","Geschlechtsänderung per Gang zum Standesamt","organic","https://www.faz.net/aktuell/politik/inland/selbstbestimmungsgesetz-geschlechtsaenderung-per-gang-zum-standesamt-19315205.html",
"DE","DESKTOP","google.de",,,"1","5","#DubistEinMann ist zulässig site:faz.net","SEARCH","http://www.google.de/search?q=%23DubistEinMann+ist+zul%C3%A4ssig+site%3Afaz.net&num=5","4",,"#DubistEinMann ist zulässige Meinungsäußerung. Oberlandesgericht Frankfurt: #DubistEinMann ist zulässige Meinungsäußerung. Die Transaktivistin Julia Monro ...","https://www.faz.net › aktuell › gesellschaft › thema › se...","DubistEinMann","DubistEinMann",,,,"3","Selbstbestimmungsgesetz: Aktuelle News von heute","organic","https://www.faz.net/aktuell/gesellschaft/thema/selbstbestimmungsgesetz",
"DE","DESKTOP","google.de",,,"1","5","#DubistEinMann ist zulässig site:faz.net","SEARCH","http://www.google.de/search?q=%23DubistEinMann+ist+zul%C3%A4ssig+site%3Afaz.net&num=5","4","2023-02-11T12:00:00.000Z","DubistEinMann ist zulässige Meinungsäußerung. Die Transaktivistin Julia Monro wollte einen Tweet mit dem Hashtag „DubistEinMann“ untersagen ...","https://www.faz.net › nachrichten-2023-november-02","DubistEinMann",,,,,"4","Chronik vom 02.11.2023: Nachrichten und Meldungen","organic","https://www.faz.net/artikel-chronik/nachrichten-2023-november-02/",
"DE","DESKTOP","google.de",,,"1","5","Hitzige Debatte um das Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Hitzige+Debatte+um+das+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","147","2023-11-15T12:00:00.000Z","Das Selbstbestimmungsgesetz ermöglicht eine Änderung des Geschlechtseintrags durch einen Sprechakt. Für Kinder unter 14 Jahren können die Eltern ...","https://www.faz.net › FAZ.NET › Politik › Inland","Selbstbestimmungsgesetz",,,,,"1","Hitzige Debatte um das Selbstbestimmungsgesetz","organic","https://www.faz.net/aktuell/politik/inland/hitzige-debatte-um-das-selbstbestimmungsgesetz-im-bundestag-19316999.html",
"DE","DESKTOP","google.de",,,"1","5","Hitzige Debatte um das Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Hitzige+Debatte+um+das+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","147","2023-11-16T12:00:00.000Z","Die Änderung des Geschlechtseintrags und Vornamens durch einen Sprechakt sorgt für hitzige Debatten - auch im Bundestag.","https://www.faz.net › FAZ.NET › Politik","hitzige",,,,,"2","Die Union übt deutliche Kritik am Gesetzentwurf","organic","https://www.faz.net/aktuell/politik/die-union-uebt-deutliche-kritik-am-gesetzentwurf-19318968.html",
"DE","DESKTOP","google.de",,,"1","5","Hitzige Debatte um das Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Hitzige+Debatte+um+das+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","147",,"Hitzige Debatte um das Selbstbestimmungsgesetz. Erste Lesung im Bundestag: Hitzige Debatte um das Selbstbestimmungsgesetz. Bislang mussten Menschen, die sich ...","https://www.faz.net › aktuell › gesellschaft › thema › se...","Hitzige Debatte um das Selbstbestimmungsgesetz","Hitzige Debatte um das Selbstbestimmungsgesetz",,,,"3","Selbstbestimmungsgesetz: Aktuelle News von heute","organic","https://www.faz.net/aktuell/gesellschaft/thema/selbstbestimmungsgesetz",
"DE","DESKTOP","google.de",,,"1","5","Hitzige Debatte um das Selbstbestimmungsgesetz site:faz.net","SEARCH","http://www.google.de/search?q=Hitzige+Debatte+um+das+Selbstbestimmungsgesetz+site%3Afaz.net&num=5","147",,"Hitzige Debatte um das Selbstbestimmungsgesetz. Erste Lesung im Bundestag · Heike Schmoll, Berlin ; Der Ampel geht das Geld aus. Karlsruher Urteil · Helene ...","https://www.faz.net › politik › thema › dorothee-baer","Hitzige Debatte um das Selbstbestimmungsgesetz",,,,,"4","Dorothee Bär: Aktuelle News der FAZ zur CSU-Politikerin","organic","https://www.faz.net/aktuell/politik/thema/dorothee-baer",
"DE","DESKTOP","google.de",,,"1","5","Hier haben heute die Apotheken geschlossen site:faz.net","SEARCH","http://www.google.de/search?q=Hier+haben+heute+die+Apotheken+geschlossen+site%3Afaz.net&num=5","1860",,"Nur sechs Apotheken in Frankfurt geöffnet · Hier haben heute die Apotheken geschlossen · Mutmaßlicher Millionenbetrug mit Corona-Test-Rechnungen · Besetzte ...","https://www.faz.net › wirtschaft › thema › apotheke-p2","Apotheken","Hier haben heute die Apotheken geschlossen",,,,"1","Apotheke aktuell: News und Informationen der ...","organic","https://www.faz.net/aktuell/wirtschaft/thema/apotheke-p2",
