web-scraper-order,web-scraper-start-url,link,link-href
"1717581713-21","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Nachrichtenpodcast: Bauern wüten gegen Habeck","https://www.zeit.de/politik/2024-01/bauernproteste-robert-habeck-agrar-subventionen-nachrichtenpodcast"
"1717581713-22","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Bauernproteste: Welche Proteste die Bauern planen","https://www.zeit.de/gesellschaft/zeitgeschehen/2024-01/bauernproteste-kuerzungen-bundeshaushalt-landwirtschaft-faq"
"1717581713-23","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Blockade gegen Robert Habeck • Das Wichtigste aus Z+: Neue deutsche Brutalität","https://www.zeit.de/gesellschaft/2024-01/robert-habeck-blockade-faehre-landwirte-bauern-proteste"
"1717581713-24","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Reaktion auf den Protest: Habeck will nach Vorfall auf der Fähre mit Landwirten sprechen","https://www.zeit.de/politik/deutschland/2024-01/habeck-bauern-blockade-oezdemir-distanzierung"
"1717581713-25","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Protest der Landwirte: Bundesinnenministerium warnt vor Missbrauch von Bauernprotesten","https://www.zeit.de/politik/deutschland/2024-01/faeser-habeck-bauernproteste-faehre"
"1717581713-26","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Joachim Rukwied: Bauernpräsident verteidigt Protest der Landwirte gegen Ampelpläne","https://www.zeit.de/politik/deutschland/2024-01/joachim-rukwied-protest-landwirte-ampel-plaene"
"1717581713-27","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Bauernproteste: Landwirte hindern Robert Habeck am Verlassen einer Fähre","https://www.zeit.de/politik/deutschland/2024-01/bauern-proteste-robert-habeck-faehre-schluettsiel"
"1717581713-28","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Agrardiesel: Ampel will geplante Kürzungen für Landwirte teilweise zurücknehmen","https://www.zeit.de/politik/2024-01/ampel-will-geplante-kuerzungen-fuer-landwirte-teilweise-zuruecknehmen"
"1717581713-29","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Bauern-Proteste: Ein weites Feld","https://www.zeit.de/2024/02/bauern-proteste-demonstrationen-diesel-subvention"
"1717581713-30","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=29","Erwartungen an 2024: Die Ampel hat ausgeblinkt","https://www.zeit.de/2024/02/erwartungen-2024-ampelkoalition-fussball-em-civey-umfrage"
