"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","position","title","type","url"
"DE","DESKTOP","google.de",,,"1","5","Union kritisiert Pläne der Ampel zum Wahlrecht site:faz.net","SEARCH","http://www.google.de/search?q=Union+kritisiert+Pl%C3%A4ne+der+Ampel+zum+Wahlrecht+site%3Afaz.net&num=5","222","2023-01-20T12:00:00.000Z","Die Union will die Zahl der Wahlkreise reduzieren. Vertreter von Grünen und FDP kritisieren den Vorschlag. Ein Grüner wirft der Union vor, ...","https://www.faz.net › FAZ.NET › Politik › Inland","Union","Union",,,"2","Grüne und FDP kritisieren Union-Vorschlag","organic","https://www.faz.net/aktuell/politik/inland/wahlrechtsreform-gruene-und-fdp-kritisieren-union-vorschlag-18616575.html"
"DE","DESKTOP","google.de",,,"1","5","Union kritisiert Pläne der Ampel zum Wahlrecht site:faz.net","SEARCH","http://www.google.de/search?q=Union+kritisiert+Pl%C3%A4ne+der+Ampel+zum+Wahlrecht+site%3Afaz.net&num=5","222","2023-01-22T12:00:00.000Z","Die Ampelkoalition will das Wahlrecht reformieren. Alle Parteien hätten dann weniger Abgeordnete. Aber für die einen wären die Karrieren ...","https://www.faz.net › FAZ.NET › Politik › Inland","Wahlrecht",,,,"3","Warum die Wahlrechtsreform der Ampel keine gute Idee ist","organic","https://www.faz.net/aktuell/politik/inland/warum-die-wahlrechtsreform-der-ampel-keine-gute-idee-ist-18617416.html"
"DE","DESKTOP","google.de",,,"1","5","Union kritisiert Pläne der Ampel zum Wahlrecht site:faz.net","SEARCH","http://www.google.de/search?q=Union+kritisiert+Pl%C3%A4ne+der+Ampel+zum+Wahlrecht+site%3Afaz.net&num=5","222","2023-03-17T12:00:00.000Z","Dieses Wahlrecht dürfe keine Anwendung bei einer Bundestagswahl finden, sagt der CDU-Vorsitzende Friedrich Merz. Das neue Wahlrecht war ...","https://www.faz.net › FAZ.NET › Politik › Inland","Wahlrecht","Wahlrecht",,,"4","Wahlrechtsreform: Union kündigt Klage in Karlsruhe an","organic","https://www.faz.net/aktuell/politik/inland/wahlrechtsreform-union-kuendigt-klage-in-karlsruhe-an-18755282.html"
"DE","DESKTOP","google.de",,,"1","5","Union kritisiert Pläne der Ampel zum Wahlrecht site:faz.net","SEARCH","http://www.google.de/search?q=Union+kritisiert+Pl%C3%A4ne+der+Ampel+zum+Wahlrecht+site%3Afaz.net&num=5","222","2023-03-17T12:00:00.000Z","Am Freitag wird im Bundestag über die Wahlrechtsreform abgestimmt. Aktuell sitzen dort 736 Abgeordnete. Der Vorschlag von SPD, Grünen und FDP ...","https://www.faz.net › FAZ.NET › Politik › Inland",,,,,"5","Schäuble beklagt „gezielten Angriff auf die CSU“","organic","https://www.faz.net/aktuell/politik/inland/wahlrechtsreform-schaeuble-beklagt-gezielten-angriff-auf-die-csu-18754831.html"
"DE","DESKTOP","google.de",,,"1","5","SPD weist Unionsvorschlag für Wahlrechtsreform zurück site:faz.net","SEARCH","http://www.google.de/search?q=SPD+weist+Unionsvorschlag+f%C3%BCr+Wahlrechtsreform+zur%C3%BCck+site%3Afaz.net&num=5","29","2023-01-20T12:00:00.000Z","Der Vorschlag der Union führe weiterhin zu einem Vorteil für die CSU, bemängelt der stellvertretende SPD-Fraktionsvorsitzende.","https://www.faz.net › FAZ.NET › Politik › Inland","SPD",,,,"1","SPD weist Vorschlag der Union für Wahlrechtsreform zurück","organic","https://www.faz.net/aktuell/politik/inland/spd-weist-vorschlag-der-union-fuer-wahlrechtsreform-zurueck-18616156.html"
"DE","DESKTOP","google.de",,,"1","5","SPD weist Unionsvorschlag für Wahlrechtsreform zurück site:faz.net","SEARCH","http://www.google.de/search?q=SPD+weist+Unionsvorschlag+f%C3%BCr+Wahlrechtsreform+zur%C3%BCck+site%3Afaz.net&num=5","29","2023-01-20T12:00:00.000Z","Innenpolitik aktuell: News zur deutschen Politik über Regierung, Koalition und Parteien. ▻ Bei der FAZ finden Sie aktuelle Nachrichten.","https://www.faz.net › ... › Politik › Inland",,,,,"2","SPD weist Unionsvorschlag für Wahlrechtsreform zurück","organic","https://www.faz.net/aktuell/politik/inland/spd-weist-vorschlag-der-union-fuer-wahlrechtsreform-zurueck-18616156/der-plenarsaal-des-bundestags-18616158.html"
"DE","DESKTOP","google.de",,,"1","5","SPD weist Unionsvorschlag für Wahlrechtsreform zurück site:faz.net","SEARCH","http://www.google.de/search?q=SPD+weist+Unionsvorschlag+f%C3%BCr+Wahlrechtsreform+zur%C3%BCck+site%3Afaz.net&num=5","29",,"Informationen zum deutschen Wahlrecht im Überblick: Hier finden Sie alle Nachrichten der FAZ rund um Wahlrechtsreformen.","https://www.faz.net › politik › thema › wahlrecht-p3","Wahlrecht","Wahlrechtsreformen",,,"3","Wahlrecht aktuell: Alle Änderungen und Reformen im ...","organic","https://www.faz.net/aktuell/politik/thema/wahlrecht-p3"
"DE","DESKTOP","google.de",,,"1","5","SPD weist Unionsvorschlag für Wahlrechtsreform zurück site:faz.net","SEARCH","http://www.google.de/search?q=SPD+weist+Unionsvorschlag+f%C3%BCr+Wahlrechtsreform+zur%C3%BCck+site%3Afaz.net&num=5","29","2023-01-21T12:00:00.000Z","Aus der Position der Stärke heraus haben die Unionsparteien jahrelang alle Bemühungen torpediert, den Bundestag auf seine Regelgröße ...","https://www.faz.net › FAZ.NET › Politik › Inland",,,,,"4","Wahlrecht: Die Union kommt zu spät","organic","https://www.faz.net/aktuell/politik/inland/wahlrecht-die-union-kommt-zu-spaet-18618001.html"
"DE","DESKTOP","google.de",,,"1","5","Grüner NRW-Justizminister rügt Wahlrecht der Ampelkoalition site:faz.net","SEARCH","http://www.google.de/search?q=Gr%C3%BCner+NRW-Justizminister+r%C3%BCgt+Wahlrecht+der+Ampelkoalition+site%3Afaz.net&num=5","29","2023-03-05T12:00:00.000Z","Die Kritik grüner Landespolitiker am Wahlrecht der Ampelkoalition reißt nicht ab. NRW-Justizminister Benjamin Limbach beklagt die ...","https://www.faz.net › FAZ.NET › Politik › Inland","grüner","Wahlrecht der Ampelkoalition","NRW","Justizminister","1","NRW-Justizminister rügt Wahlrecht der Ampelkoalition","organic","https://www.faz.net/aktuell/politik/inland/nrw-justizminister-ruegt-wahlrecht-der-ampelkoalition-18866101.html"
"DE","DESKTOP","google.de",,,"1","5","Grüner NRW-Justizminister rügt Wahlrecht der Ampelkoalition site:faz.net","SEARCH","http://www.google.de/search?q=Gr%C3%BCner+NRW-Justizminister+r%C3%BCgt+Wahlrecht+der+Ampelkoalition+site%3Afaz.net&num=5","29",,"Informationen zum deutschen Wahlrecht im Überblick: Hier finden Sie alle Nachrichten der FAZ rund um Wahlrechtsreformen.","https://www.faz.net › aktuell › politik › thema › wahlre...","Wahlrecht",,,,"2","Wahlrecht aktuell: Alle Änderungen und Reformen im ...","organic","https://www.faz.net/aktuell/politik/thema/wahlrecht"
