
"x"
"(agrardiesel OR landwirt OR bauernprotest) (from:Mehli OR from:anja_troff OR from:AnkeHennigSPD OR from:annakassautzki OR from:AnniKlose OR from:ArianeFaescher OR from:ArmandZorn OR from:BengtBergt OR from:BettinaLugk OR from:BrianNickholz OR from:CarlosKasperMdB OR from:CarmenWegge OR from:kratermensch OR from:Dr_Pantazis OR from:DagmarAndres OR from:baldy_daniel OR from:DS_AFD OR from:derya_tn) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:EVMGreifswald OR from:EsraLimbacher OR from:funke_fabian OR from:FKerstenMdB OR from:f_mascheck OR from:FHeiligenstadt OR from:HakanDemirNK OR from:HERavensburg OR from:helmut_kleebank OR from:HolgerMannLE OR from:ingoschaeferspd OR from:isacademartori OR from:JakobBla OR from:JanUlrichDieren OR from:JanPlobner OR from:JasminaHostert OR from:JensPeick OR from:jessi_rosenthal) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:arlt_johannes OR from:joergnurnberger OR from:juergencosse OR from:Kthrn_Mchl_SPD OR from:El_KaWeh_ OR from:KuehniKev OR from:KLHohenlohe OR from:thereallenzii OR from:lennardoehl OR from:Lina_Seitzl OR from:BodeLuiza OR from:Macit_SPD OR from:Krawallstein OR from:HumpferMarkus OR from:MDiedenhofen OR from:MartinKroeber OR from:M_Papendieck OR from:RegBerlin) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:NHeselhaus OR from:nadjasthamer OR from:natalie_pawlik OR from:ParsaMarvi OR from:Ralf_Stegner OR from:rasha_nasr_ OR from:ReemAlabali OR from:mesarosch OR from:stuewer OR from:_sanaeabdi OR from:SLahrkamp OR from:fiedelseb OR from:SebRoloff OR from:SimonaMdB OR from:sonjaeichwede OR from:TakisMehmetAli OR from:TMachalet OR from:jethoru) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:timkluessendorf OR from:verenahubertz OR from:YeOne_Rhie OR from:ZandaMartens OR from:StochAndreas OR from:DanielBornMdL OR from:kliche_behnke OR from:RollandGabi OR from:HansPeter_Storz OR from:_jproe OR from:hoffmannspd OR from:jonasweber OR from:ksteinhuelbjoos OR from:martinrivoir OR from:nicolasfink_mdl OR from:saschabinder OR from:scuny OR from:stefanfulstblei) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:berndlange OR from:BirgitSippelMEP OR from:delarabur OR from:gabischoff OR from:IsmailErtug OR from:EuropaJens OR from:Schuster_MdEP OR from:katarinabarley OR from:MariaNoichl OR from:woelken OR from:UdoBullmann OR from:AMohrenberg OR from:AKammeyer OR from:arneplatzbecker OR from:AstridHennies OR from:BarisOenes OR from:carola_veit OR from:ilkhanipour) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:dkienscherf OR from:frank_schmitt OR from:gdobusch OR from:GngrYilmaz6 OR from:hschmidt OR from:iftikharDE OR from:JanKoltze OR from:juliabarth_hh OR from:JuTiHH OR from:KazimAbaci OR from:pochnicht OR from:MarcSchemmel OR from:MartinaKoeppen1 OR from:drmpetersen OR from:Czech_MdHB OR from:Michael21109 OR from:otbhh OR from:PSturzenbecher) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:SarahTimmann OR from:sventode OR from:SoeSchu OR from:stoberock OR from:TabbertUrs OR from:uwelohmann OR from:bijan_kberg OR from:ChristophDegen OR from:ElkeBarth_MdL OR from:EstherKalveram OR from:grudolph_ OR from:hofmann_heike OR from:Heinz_Lotz OR from:kerstin_geis OR from:knutjohn_spd OR from:mariusweiss OR from:NGersberg OR from:WaschkeSabine) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:GruegerS OR from:TobiasEckertSPD OR from:UAlexMdL OR from:ManfredDachner OR from:SWippermann OR from:DirkStamer OR from:JulianBarlen OR from:NadineJulitz OR from:Dahlemann OR from:pdacu OR from:ralfmucha OR from:TWuerdisch OR from:GundlackTilo OR from:TGundlack OR from:BettinaMartin4 OR from:heikomirass OR from:ManuelaSchwesig OR from:BeatrixHegenkt2) since:2023-12-01 until:2024-02-29"
"(agrardiesel OR landwirt OR bauernprotest) (from:ChWinter_MV OR from:mikmurl OR from:NorthoffRobert OR from:JModder OR from:PetraTiemann OR from:borispistorius OR from:AlpKIRCI OR from:HannaNaber OR from:cbratmann OR from:ClaudiaSchler2 OR from:DorisSchroederK OR from:DLiebetruth OR from:SilkeLesemann OR from:GTonne OR from:Guido_Pott OR from:OlafLies OR from:Klein_MdL OR from:stephanweil) since:2023-12-01 until:2024-02-29"
